w_wagon_type,w_train_number,w_train_type,w_wagon_number,ss_name,ss_lon,fs_name,fs_lon,f_ticket_cost,f_days_diff
Lux,483,Peak,7,Château-de-Seilles,5.08175,Namêche,4.997939,260.52000000000004,14
Standard,38,Regular,4,Anvers-Sud,4.390264,Anvers-Sud,4.390264,13.95,27
Standard,567,Peak,18,Schulen,5.187405,Herent,4.67219,145.73,22
Standard,236,Regular,12,Puurs,4.282701,Puurs,4.282701,22.43,19
Standard,323,Intercity,14,Bruxelles-Nord,4.36085,Schaerbeek,4.37864,6.08,28
Standard,439,Peak,2,Lokeren,3.987794,Bruxelles-Congrès,4.362051,204.21000000000004,25
Standard,448,Suburban,14,Waarschoot,3.61535,Sleidinge,3.667527,27.96,22
Female,203,Suburban,2,Bruxelles-Congrès,4.362051,Bruxelles-Central,4.356804,9.24,24
Female,108,Suburban,14,Bruxelles-Schuman,4.380725,Huizingen,4.266485,91.43,28
Female,134,Regular,16,Anvers-Berchem,4.432219,Hove,4.465158,35.64,25
Female,203,Suburban,2,Bruxelles-Congrès,4.362051,Bruxelles-Nord,4.36085,2.93,30
Standard,439,Peak,2,Belsele,4.08861,Beervelde,3.879383,75.08,27
Lux,270,Intercity,12,Leval,4.21104,La Louvière-Centre,4.17986,290.57,26
Standard,501,Peak,11,Leignon,5.10778,Chapois,5.12426,29.86,17
Female,552,Peak,14,Erpe-Mere,3.96246,Erpe-Mere,3.96246,17.830000000000002,17
Female,304,Suburban,3,Tour-et-Taxis,4.342105,Jette,4.326218,5.84,19
Standard,275,Intercity,10,Bruxelles-Chapelle,4.34787,Bruxelles-Chapelle,4.34787,5.02,26
Lux,257,Intercity,4,Froyennes,3.354835,Tournai,3.39694,81.95,17
Sleeping,99,Peak,6,Sint-Gillis,4.117831,Jette,4.326218,99.38000000000002,15
Standard,263,Suburban,16,Hal,4.240633,Etterbeek,4.389517,92.81,26
Standard,407,Regular,13,Habay,5.632689,Stockem,5.769116,54.42999999999999,16
Sleeping,592,Peak,10,Ypres,2.87659,Comines,2.999286,101.24000000000001,16
Sleeping,404,Regular,12,Aubange,5.798058,Halanzy,5.741347,82.83,29
Female,530,Peak,8,Bruxelles-Nord,4.36085,Schaerbeek,4.37864,9.12,23
Sleeping,582,Peak,14,Viville,5.786525,Forrières,5.276783,263.21999999999997,16
Standard,231,Suburban,17,Anvers-Sud,4.390264,Anvers-Berchem,4.432219,21.240000000000002,31
Sleeping,404,Regular,12,Aubange,5.798058,Aubange,5.798058,23.65,20
Female,17,Regular,11,Leignon,5.10778,Ciney,5.091406,10.88,20
Female,247,Suburban,7,Geel,4.988611,Wolfstee,4.786148,89.45,27
Standard,146,Regular,16,Etterbeek,4.389517,Assesse,5.022836,213.30999999999997,23
Female,506,Peak,15,Rhisnes,4.80187,Saint-Denis-Bovesse,4.76779,49.19,18
Standard,489,Peak,19,Bruxelles-Nord,4.36085,Leuze,3.616876,251.85999999999993,28
Sleeping,591,Peak,6,Bruxelles-Nord,4.36085,Lembeek,4.22158,85.25000000000001,28
Standard,248,Intercity,15,Coxyde,2.652773,Lichtervelde,3.127209,136.18,21
Female,507,Peak,12,Lonzée,4.7201,Beuzet,4.748531,33.74,20
Standard,123,Intercity,13,Bissegem,3.224208,Menin,3.11379,49.22,30
Standard,388,Regular,10,Natoye,5.061162,Courrière,4.996051,48.03,18
Standard,159,Suburban,17,Balegem-Zuid,3.80587,Balegem-Dorp,3.791423,19.11,16
Standard,346,Suburban,4,Couillet,4.468512,Namur,4.86222,117.25,26
Standard,81,Intercity,19,Dixmude,2.868947,Coxyde,2.652773,81.62,30
Female,305,Suburban,6,Zellik,4.274546,Zellik,4.274546,37.92,15
Standard,184,Intercity,17,Viville,5.786525,Aye,5.301096,241.85000000000002,24
Standard,184,Intercity,17,Ernage,4.66854,Bruxelles-Congrès,4.362051,112.78,15
Standard,432,Regular,11,Anseremme,4.90553,Dinant,4.90818,5.82,26
Standard,248,Intercity,15,Coxyde,2.652773,Kortemark,3.043456,97.09,23
Female,490,Peak,18,Jemappes,3.885583,Callenelle,3.526178,176.25000000000003,16
Female,224,Suburban,20,Ekeren,4.434153,Heide,4.460482,45.63,14
Standard,329,Intercity,16,Anvers-Berchem,4.432219,Mortsel,4.448435,18.46,18
Standard,505,Suburban,17,La Hulpe,4.49706,Bruxelles-Luxembourg,4.373676,45.32,17
Sleeping,497,Peak,9,Rixensart,4.53286,Saint-Denis-Bovesse,4.76779,124.00999999999999,31
Lux,319,Intercity,16,Wijgmaal,4.701478,Louvain,4.715868,80.43,16
Lux,324,Intercity,6,Nijlen,4.666589,Herentals,4.82954,394.34000000000003,22
Standard,101,Intercity,10,Oostkamp,3.25747,Maria-Aalter,3.38673,48.28,30
Female,507,Peak,12,Mont-Saint-Guibert,4.613883,Ernage,4.66854,58.870000000000005,29
Standard,495,Peak,4,Ghlin,3.90634,Ghlin,3.90634,19.2,20
Standard,388,Regular,10,Natoye,5.061162,Natoye,5.061162,26.990000000000002,31
Standard,297,Intercity,11,Thieu,4.09852,Flawinne,4.8063,201.21,20
Sleeping,558,Peak,3,Lissewege,3.19451,Lissewege,3.19451,36.22,17
Standard,541,Peak,17,Bruxelles-Nord,4.36085,Haaltert,4.023957,91.00000000000001,24
Sleeping,114,Regular,7,Vichte,3.391627,Audenarde,3.600388,130.24,31
Standard,354,Regular,10,Herseaux,3.245961,Froyennes,3.354835,52.18000000000001,18
Standard,105,Intercity,9,Bruges-Saint-Pierre,3.201796,Bruges,3.21673,6.96,17
Lux,283,Intercity,10,Erbisoeul,3.887991,Erbisoeul,3.887991,112.15,30
Sleeping,35,Regular,9,Vertrijk,4.83552,Tirlemont,4.92581,91.17,30
Standard,225,Intercity,13,Wezemaal,4.747681,Heist-op-den-Berg,4.708231,76.53999999999999,22
Standard,64,Intercity,15,Schaerbeek,4.37864,Diegem,4.442773,43.11,18
Sleeping,408,Regular,17,Poix-Saint-Hubert,5.292646,Forrières,5.276783,95.63,30
Female,126,Suburban,20,Bruxelles-Chapelle,4.34787,Bruxelles-Congrès,4.362051,13.43,28
Female,585,Peak,3,Poix-Saint-Hubert,5.292646,Libramont,5.37927,49.36,14
Female,585,Peak,3,Poix-Saint-Hubert,5.292646,Libramont,5.37927,49.36,15
Lux,32,Regular,5,Olen,4.9025,Herentals,4.82954,86.51,18
Sleeping,380,Regular,15,Oudegem,4.064472,Londerzeel,4.299069,90.57000000000001,21
Standard,489,Peak,19,Bruxelles-Nord,4.36085,Enghien,4.047359,121.36000000000001,18
Sleeping,561,Peak,2,Neerpelt,5.43717,Hamont,5.543276,22.67,17
Female,106,Suburban,2,Viane-Moerbeke,3.91734,Hal,4.240633,144.16,24
Female,136,Regular,5,Lembeek,4.22158,Bruxelles-Chapelle,4.34787,78.08,27
Standard,421,Regular,3,Tielen,4.89309,Schoonaarde,4.011095,216.30999999999997,18
Female,308,Suburban,10,Chastre,4.648884,Bruxelles-Chapelle,4.34787,165.27,19
Standard,415,Suburban,6,Gand-Dampoort,3.74059,Gand-Dampoort,3.74059,31.06,28
Female,203,Suburban,2,Denderleeuw,4.07183,Welle,4.050617,24.270000000000003,28
Female,179,Suburban,5,Sint-Martens-Bodegem,4.20508,Bockstael,4.34851,67.08,18
Female,420,Suburban,15,Zwijndrecht,4.329776,Beveren,4.259525,49.739999999999995,15
Standard,276,Intercity,8,Tirlemont,4.92581,Lede,3.98498,245.60000000000002,16
Lux,429,Regular,13,Bierges-Walibi,4.59475,Wavre,4.60478,23.72,30
Lux,255,Intercity,19,Zele,4.042001,Bruxelles-Central,4.356804,853.14,24
Standard,263,Suburban,16,Germoir,4.379445,Evere,4.400963,18.36,19
Female,156,Suburban,7,Grammont,3.872326,Lierde,3.826561,22.93,24
Female,304,Suburban,3,Simonis,4.328982,Bruxelles-Ouest,4.32104,18.689999999999998,27
Standard,268,Intercity,12,Bruxelles-Schuman,4.380725,Lembeek,4.22158,74.44000000000001,28
Standard,597,Peak,17,De Pinte,3.650467,Gand-Saint-Pierre,3.710673,14.96,21
Standard,323,Intercity,14,Bruxelles-Chapelle,4.34787,Waregem,3.42551,232.28,22
Standard,587,Regular,5,Merelbeke,3.76889,Kwatrecht,3.829591,35.21,31
Female,581,Peak,4,Leignon,5.10778,Leignon,5.10778,17.51,28
Standard,453,Suburban,3,Sint-Gillis,4.117831,Merchtem,4.222719,35.239999999999995,27
Lux,557,Peak,3,Coxyde,2.652773,Lichtervelde,3.127209,1021.41,29
Sleeping,465,Peak,11,Haren-Sud,4.415358,Bruxelles-Central,4.356804,35.809999999999995,18
Female,522,Peak,17,Florenville,5.33112,Virton,5.519122,80.41,25
Standard,229,Suburban,9,Anvers-Berchem,4.432219,Melsele,4.286767,31.82,20
Standard,376,Suburban,4,Bilzen,5.50938,Tongres,5.47328,22.84,19
Standard,112,Suburban,9,Gammerages,3.965726,Gammerages,3.965726,17.619999999999997,23
Standard,236,Regular,12,Puurs,4.282701,Puurs,4.282701,22.43,25
Sleeping,555,Peak,5,Lichtervelde,3.127209,Zedelgem,3.164142,94.49,19
Standard,63,Intercity,11,Vichte,3.391627,Courtrai,3.264548,27.47,17
Standard,38,Regular,4,Anvers-Sud,4.390264,Niel,4.338591,38.730000000000004,18
Lux,392,Regular,16,Knokke,3.28519,Duinbergen,3.263591,19.96,29
Lux,284,Intercity,8,Bruxelles-Chapelle,4.34787,Bruxelles-Central,4.356804,52.510000000000005,22
Standard,345,Suburban,11,Céroux-Mousty,4.569049,Villers-la-Ville,4.533348,33.53,17
Sleeping,19,Regular,15,Ghlin,3.90634,Ghlin,3.90634,26.39,22
Standard,249,Intercity,4,Coxyde,2.652773,Kortemark,3.043456,97.09,19
Standard,264,Suburban,20,Weerde,4.470935,Evere,4.400963,45.83,21
Standard,200,Intercity,2,Sint-Gillis,4.117831,Lebbeke,4.134372,14.010000000000002,26
Female,581,Peak,4,Leignon,5.10778,Haversin,5.194376,86.66,23
Sleeping,232,Regular,9,Wijgmaal,4.701478,Hambos,4.66301,36.17,23
Lux,255,Intercity,19,Zele,4.042001,Termonde,4.10143,245.3,22
Female,309,Suburban,3,Etterbeek,4.389517,La Hulpe,4.49706,65.19,20
Standard,111,Suburban,13,Schendelbeke,3.899285,Appelterre,3.972107,31.01,29
Standard,256,Intercity,16,Mouscron,3.228449,Herseaux,3.245961,63.980000000000004,28
Female,18,Regular,10,Haversin,5.194376,Aye,5.301096,78.65,22
Sleeping,494,Peak,18,Acren,3.84709,Papignies,3.82341,46.66,28
Standard,82,Intercity,20,Herent,4.67219,Veltem,4.63352,28.490000000000002,26
Standard,407,Regular,13,Neufchâteau,5.452557,Neufchâteau,5.452557,62.099999999999994,25
Standard,277,Intercity,7,Merelbeke,3.76889,Grand-Bigard,4.273542,131.51000000000002,21
Sleeping,561,Peak,2,Neerpelt,5.43717,Neerpelt,5.43717,26.43,23
Female,224,Suburban,20,Anvers-Luchtbal,4.425033,Ekeren,4.434153,28.630000000000003,26
Female,134,Regular,16,Anvers-Berchem,4.432219,Malines-Nekkerspoel,4.489917,81.2,24
Female,17,Regular,11,Aye,5.301096,Rochefort-Jemelle,5.266697,86.82,20
Standard,181,Suburban,5,Jette,4.326218,Tour-et-Taxis,4.342105,3.9,16
Standard,432,Regular,11,Gendron-Celles,4.964611,Anseremme,4.90553,16.52,21
Female,267,Suburban,10,Weerde,4.470935,Haren,4.41998,58.32000000000001,18
Standard,268,Intercity,12,Bruxelles-Schuman,4.380725,Etterbeek,4.389517,20.090000000000003,21
Standard,491,Suburban,13,De Pinte,3.650467,Zingem,3.646381,49.78,16
Sleeping,320,Peak,15,Beernem,3.32989,Oostkamp,3.25747,51.04,19
Standard,439,Peak,2,Bruxelles-Chapelle,4.34787,Bruxelles-Congrès,4.362051,8.95,21
Female,53,Regular,20,Sint-Denijs-Boekel,3.6984,Audenarde,3.600388,32.33,14
Standard,263,Suburban,16,Hal,4.240633,Bruxelles-Schuman,4.380725,101.27999999999999,26
Standard,66,Intercity,10,Herzele,3.880616,Burst,3.922418,27.25,20
Female,126,Suburban,20,Bruxelles-Chapelle,4.34787,Bruxelles-Chapelle,4.34787,7.53,14
Standard,350,Regular,13,Jemappes,3.885583,Harchies,3.698768,73.29,16
Standard,331,Intercity,18,Wolfstee,4.786148,Wolfstee,4.786148,13.870000000000001,29
Standard,406,Regular,20,Graide,5.043044,Jambes,4.876143,181.88000000000002,18
Standard,416,Suburban,10,Gand-Dampoort,3.74059,Gand-Dampoort,3.74059,31.06,28
Sleeping,89,Regular,2,Schaerbeek,4.37864,Schaerbeek,4.37864,19.549999999999997,19
Sleeping,399,Regular,5,Kapelle-op-den-Bos,4.359118,Kapelle-op-den-Bos,4.359118,47.31,19
Lux,554,Peak,10,Harelbeke,3.314007,Harelbeke,3.314007,287.7,27
Standard,215,Intercity,20,Yvoir,4.87864,Lustin,4.877468,51.89,26
Lux,283,Intercity,10,Lembeek,4.22158,Hal,4.240633,48.58,28
Female,414,Suburban,8,Limal,4.5753,Bierges-Walibi,4.59475,9.01,28
Standard,248,Intercity,15,Coxyde,2.652773,Dixmude,2.868947,81.62,26
Standard,64,Intercity,15,Diegem,4.442773,Bruxelles-Congrès,4.362051,29.560000000000002,15
Standard,236,Regular,12,Tamise,4.221349,Bornem,4.24053,7.57,30
Sleeping,144,Regular,18,Bruxelles-Chapelle,4.34787,Zaventem,4.46989,57.92,20
Lux,44,Regular,3,De Pinte,3.650467,Gand-Saint-Pierre,3.710673,112.17,18
Sleeping,397,Regular,2,Rochefort-Jemelle,5.266697,Poix-Saint-Hubert,5.292646,117.82,22
Standard,461,Suburban,11,Kessel,4.61846,Nijlen,4.666589,8.04,27
Standard,505,Suburban,17,Profondsart,4.545435,Genval,4.514834,23.44,21
Standard,391,Regular,4,Bertrix,5.267189,Gendron-Celles,4.964611,194.12,15
Standard,424,Regular,12,Bruxelles-Congrès,4.362051,Deinze,3.534435,202.64999999999998,14
Standard,268,Intercity,12,Bruxelles-Schuman,4.380725,Vivier D Oie,4.37405,29.480000000000004,28
Sleeping,582,Peak,14,Viville,5.786525,Forrières,5.276783,263.21999999999997,18
Standard,127,Suburban,8,Bruxelles-Congrès,4.362051,Bruxelles-Congrès,4.362051,3.9299999999999997,16
Sleeping,386,Regular,5,Lissewege,3.19451,Bruges-Saint-Pierre,3.201796,47.370000000000005,16
Lux,199,Intercity,17,Schulen,5.187405,Hasselt,5.327631,217.32,21
Standard,551,Suburban,13,Grammont,3.872326,Lierde,3.826561,15.28,25
Standard,405,Regular,9,Messancy,5.818919,Athus,5.828944,7.76,22
Standard,190,Intercity,16,Marloie,5.31389,Hoeilaart,4.46741,283.6499999999999,30
Standard,127,Suburban,8,Uccle-Stalle,4.3239,Rhode-Saint-Genèse,4.362001,22.2,31
Female,545,Peak,20,Vichte,3.391627,Burst,3.922418,235.37,17
Sleeping,437,Peak,19,Merelbeke,3.76889,Kwatrecht,3.829591,48.41,26
Female,267,Suburban,10,Weerde,4.470935,Eppegem,4.45749,38.870000000000005,28
Lux,431,Regular,12,Bruxelles-Chapelle,4.34787,Archennes,4.662441,991.5100000000001,25
Sleeping,232,Regular,9,Haacht,4.613306,Boortmeerbeek,4.5739,30.01,24
Female,134,Regular,16,Mortsel-Liersesteenweg,4.468841,Schaerbeek,4.37864,138.98000000000002,22
Female,517,Peak,15,Paliseul,5.118351,Bertrix,5.267189,55.04,18
Female,506,Peak,15,Saint-Denis-Bovesse,4.76779,Saint-Denis-Bovesse,4.76779,23.82,20
Sleeping,561,Peak,2,Neerpelt,5.43717,Overpelt,5.422756,49.09,18
Standard,597,Peak,17,De Pinte,3.650467,Deinze,3.534435,60.02,23
Female,488,Peak,7,Froyennes,3.354835,Herseaux,3.245961,49.91,28
Standard,510,Peak,19,Halanzy,5.741347,Halanzy,5.741347,54.22,21
Lux,195,Intercity,6,Bilzen,5.50938,Diepenbeek,5.419946,476.52,17
Female,581,Peak,4,Leignon,5.10778,Aye,5.301096,96.16,19
Standard,439,Peak,2,Merelbeke,3.76889,Bruxelles-Midi,4.33653,131.47000000000003,21
Lux,124,Intercity,8,Nieuwkerken-Waas,4.185904,Nieuwkerken-Waas,4.185904,151.49,29
Standard,331,Intercity,18,Wolfstee,4.786148,Wolfstee,4.786148,13.870000000000001,25
Sleeping,561,Peak,2,Neerpelt,5.43717,Hamont,5.543276,22.67,18
Standard,489,Peak,19,Bruxelles-Nord,4.36085,Forest-Midi,4.309167,29.380000000000003,19
Standard,579,Peak,12,Péruwelz,3.592777,Callenelle,3.526178,44.209999999999994,23
Standard,359,Regular,9,Rebaix,3.793624,Houraing,3.835174,26.36,29
Standard,379,Regular,10,Merelbeke,3.76889,Schellebelle,3.92137,51.7,23
Lux,438,Peak,13,Denderleeuw,4.07183,Bruxelles-Midi,4.33653,512.32,15
Standard,82,Intercity,20,Brussels Airport-Zaventem,4.482072,Brussels Airport-Zaventem,4.482072,27.89,17
Female,444,Peak,19,Duinbergen,3.263591,Knokke,3.28519,3.99,21
Standard,252,Intercity,12,Buda,4.417075,Hove,4.465158,82.58000000000001,28
Female,223,Suburban,8,Anvers-Berchem,4.432219,Anvers-Central,4.421098,7.31,27
Sleeping,575,Regular,7,Gand-Saint-Pierre,3.710673,De Pinte,3.650467,20.57,15
Lux,543,Peak,14,Sint-Denijs-Boekel,3.6984,Terhagen,3.896657,528.4300000000001,18
Standard,376,Suburban,4,Bilzen,5.50938,Tongres,5.47328,22.84,20
Female,542,Suburban,13,Waarschoot,3.61535,Sleidinge,3.667527,41.94,26
Sleeping,385,Regular,14,Tronchiennes,3.655201,Lissewege,3.19451,180.98000000000002,19
Female,54,Regular,14,Leuze,3.616876,Ath,3.777428,58.55,31
Standard,231,Suburban,17,Melsele,4.286767,Zwijndrecht,4.329776,20.57,27
Standard,217,Intercity,17,Yvoir,4.87864,Yvoir,4.87864,24.560000000000002,30
Standard,229,Suburban,9,Anvers-Berchem,4.432219,Anvers-Central,4.421098,4.87,17
Standard,337,Intercity,13,Zaventem,4.46989,Bellem,3.48737,224.7,28
Female,27,Regular,19,Overpelt,5.422756,Lommel,5.312032,24.73,25
Female,39,Regular,20,Tronchiennes,3.655201,Landegem,3.576856,49.11,24
Female,52,Regular,4,Merelbeke,3.76889,Gand-Saint-Pierre,3.710673,17.57,24
Standard,400,Regular,16,Florenville,5.33112,Bertrix,5.267189,39.86,16
Standard,323,Intercity,14,Bruxelles-Chapelle,4.34787,Deinze,3.534435,207.17999999999998,18
Standard,383,Regular,8,Comblain-la-Tour,5.566959,Esneux,5.572567,34.62,26
Standard,181,Suburban,5,Bruxelles-Ouest,4.32104,Simonis,4.328982,12.46,28
Female,348,Suburban,6,Ronet,4.82842,Court-Saint-Etienne,4.56582,297.0600000000001,20
Sleeping,26,Regular,11,Hamont,5.543276,Neerpelt,5.43717,22.67,17
Female,506,Peak,15,Rhisnes,4.80187,Rhisnes,4.80187,40.54,23
Lux,557,Peak,3,Coxyde,2.652773,Zaventem,4.46989,2916.96,17
Lux,330,Intercity,17,Kessel,4.61846,Olen,4.9025,525.1700000000001,21
Lux,464,Peak,15,Wezemaal,4.747681,Melkouwen,4.671533,629.1,16
Standard,3,Intercity,14,Milmort,5.600094,Liège-Carré,5.56113,37.269999999999996,14
Standard,350,Regular,13,Quaregnon,3.856541,Harchies,3.698768,59.03,31
Sleeping,116,Regular,18,Vichte,3.391627,Anzegem,3.495013,30.71,15
Standard,390,Regular,18,Schoonaarde,4.011095,Hansbeke,3.53621,111.8,22
Lux,318,Intercity,13,Bruges,3.21673,Bellem,3.48737,812.49,29
Standard,458,Intercity,12,De Pinte,3.650467,Gand-Saint-Pierre,3.710673,14.96,23
Standard,181,Suburban,5,Tour-et-Taxis,4.342105,Simonis,4.328982,3.61,29
Standard,214,Regular,10,Schulen,5.187405,Zichem,4.98736,76.67,15
Sleeping,568,Peak,13,Bruxelles-Chapelle,4.34787,Louvain,4.715868,158.38000000000005,30
Female,537,Peak,3,Ghlin,3.90634,Masnuy-Saint-Pierre,3.96214,78.26,19
Standard,329,Intercity,16,Lierre,4.560611,Nijlen,4.666589,43.81999999999999,30
Standard,193,Suburban,8,Berchem-Sainte-Agathe,4.289892,Jette,4.326218,16.110000000000003,30
Lux,149,Intercity,19,Beervelde,3.879383,Anvers-Sud,4.390264,916.65,26
Standard,556,Peak,15,De Pinte,3.650467,Aarsele,3.41836,76.93,19
Standard,423,Regular,5,Bilzen,5.50938,Langdorp,4.86354,164.60999999999999,26
Standard,263,Suburban,16,Hal,4.240633,Vivier D Oie,4.37405,83.67999999999999,20
Standard,159,Suburban,17,Moortsele,3.78134,Merelbeke,3.76889,36.21,31
Sleeping,244,Regular,2,Anvers-Berchem,4.432219,Heist-op-den-Berg,4.708231,104.62,28
Sleeping,357,Regular,6,Cambron-Casteau,3.87481,Houraing,3.835174,84.94999999999999,20
Sleeping,399,Regular,5,Malderen,4.22911,Baasrode-Zuid,4.153496,50.87,27
Female,447,Peak,4,Comines,2.999286,Ypres,2.87659,110.45,15
Lux,365,Intercity,12,Diegem,4.442773,Aalter,3.447848,1712.4499999999998,18
Lux,512,Peak,11,Jambes-Est,4.88026,Jambes-Est,4.88026,92.85,14
Standard,346,Suburban,4,Céroux-Mousty,4.569049,Couillet,4.468512,111.61999999999999,26
Female,420,Suburban,15,Anvers-Berchem,4.432219,Belsele,4.08861,98.76,30
Female,447,Peak,4,Wevelgem,3.183519,Wervik,3.04698,77.07,24
Female,108,Suburban,14,Bruxelles-Schuman,4.380725,Saint-Job,4.362758,56.480000000000004,23
Female,522,Peak,17,Libramont,5.37927,Bertrix,5.267189,47.45,24
Standard,190,Intercity,16,Beuzet,4.748531,Bruxelles-Luxembourg,4.373676,125.39999999999999,27
Standard,493,Peak,16,Maffle,3.800117,Brugelette,3.852551,25.62,25
Standard,95,Intercity,14,Herseaux,3.245961,Herseaux,3.245961,41.25,23
Standard,597,Peak,17,Deinze,3.534435,Deinze,3.534435,45.06,20
